Payload ID,Mode,Movement (T/F),Movement Vehicle,Final X,Final Y,Final Z,Start Time (hr elasped),Estimate Run time (hr)
23.0,Safe,T,Starship,0.0,0.0,0.0,0.0,24.0
23.0,Safe,T,Transport2,0.0,35.0,0.0,24.0,1.0
23.0,Safe,F,,,,,25.0,3.0
23.0,Standby,F,,,,,28.0,3.0
23.0,Active,F,,,,,31.0,1649.0
23.0,Safe,F,,,,,1680.0,7080.0
,,,,,,,,
24.0,Safe,T,Starship,0.0,0.0,0.0,0.0,10.0
24.0,Safe,T,Transport2,25.0,0.0,0.0,10.0,1.0
24.0,Standby,F,,,,,11.0,3.0
24.0,Active,F,,,,,14.0,8746.0
24.0,Safe,F,,,,,8760.0,
,,,,,,,,
25.0,Safe,T,Starship,0.0,0.0,0.0,0.0,8.0
25.0,Safe,T,Transport2,25.0,0.0,0.0,8.0,1.0
25.0,Standby,F,,,,,9.0,3.0
25.0,Active,F,,,,,12.0,8748.0
25.0,Safe,F,,,,,8760.0,
,,,,,,,,
26.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
26.0,Safe,T,,12.5,11.25,0.0,56.0,184.0
26.0,Standby,T,,-100.0,-100.0,0.0,240.0,144.0
26.0,Active,F,,,,,384.0,192.0
26.0,Standby,F,,,,,576.0,48.0
26.0,Safe,F,,,,,624.0,8136.0
,,,,,,,,
27.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
27.0,Safe,T,,12.5,11.25,0.0,56.0,184.0
27.0,Standby,T,,-100.0,-100.0,0.0,240.0,144.0
27.0,Active,F,,,,,384.0,192.0
27.0,Standby,F,,,,,576.0,48.0
27.0,Safe,F,,,,,624.0,8136.0
,,,,,,,,
28.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
28.0,Safe,T,,12.5,11.25,0.0,56.0,184.0
28.0,Standby,T,,-100.0,-100.0,0.0,240.0,144.0
28.0,Active,F,,,,,384.0,192.0
28.0,Standby,F,,,,,576.0,48.0
28.0,Safe,F,,,,,624.0,8136.0
,,,,,,,,
29.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
29.0,Safe,T,,12.5,11.25,0.0,56.0,184.0
29.0,Standby,T,,-100.0,-100.0,0.0,240.0,144.0
29.0,Active,F,,,,,384.0,192.0
29.0,Standby,F,,,,,576.0,48.0
29.0,Safe,F,,,,,624.0,8136.0
,,,,,,,,
30.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
30.0,Safe,T,,12.5,11.25,0.0,56.0,184.0
30.0,Standby,T,,-100.0,-100.0,0.0,240.0,144.0
30.0,Active,F,,,,,384.0,192.0
30.0,Standby,F,,,,,576.0,48.0
30.0,Safe,F,,,,,624.0,8136.0
